image_id,file_name,file_path,category,query,source_api,source_url,image_download_url,photographer,width,height,license,tags,date_taken,quality_status,resolved_path,exists,is_valid_image,aspect_ratio,mode,_showcase_score,display_path
img_0025,img_0025.jpg,..\..\data\raw\images\img_0025.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/63763677@N06/5960488663,https://live.staticflickr.com/6141/5960488663_d234daf2dd_b.jpg,,997,1024,0,,,unreviewed,..\..\data\raw\images\img_0025.jpg,True,True,1.0270812437311936,RGB,,..\..\data\raw\images\img_0025.jpg
img_0057,img_0057.jpg,..\..\data\raw\images\img_0057.jpg,rabbit,White Rabbit Alice in Wonderland pocket watch,Flickr,https://www.flickr.com/photos/31875834@N00/2784937579,https://live.staticflickr.com/3082/2784937579_fdc6c0a8f7_c.jpg,,800,746,0,necklace heart jewelry jewellery tenniel madhatter aliceinwonderland cheshirecat whiterabbit drinkme paraphernalia,,unreviewed,..\..\data\raw\images\img_0057.jpg,True,True,1.0723860589812333,RGB,,..\..\data\raw\images\img_0057.jpg
img_0076,img_0076.jpg,..\..\data\raw\images\img_0076.jpg,cat,Cheshire Cat Alice in Wonderland grin,Flickr,https://www.flickr.com/photos/75462591@N02/8138838940,https://live.staticflickr.com/8471/8138838940_ea520a0208_b.jpg,,1024,1024,0,blackandwhite bw tree green halloween smile animal cat canon pose square eos eyes chat teeth evil 100mm creepy squareformat desaturation 7d lowkey arbre selectivecolor,,unreviewed,..\..\data\raw\images\img_0076.jpg,True,True,1.0,RGB,11.524000000000001,..\..\data\raw\images\img_0076.jpg
img_0117,img_0117.jpg,..\..\data\raw\images\img_0117.jpg,hat,Mad Hatter hat Alice in Wonderland,Flickr,https://www.flickr.com/photos/63016621@N03/27281763599,https://live.staticflickr.com/4520/27281763599_b8ac610a95_b.jpg,,768,1024,0,madhatter facepaint tophat staring glaring candidportrait portrait renfest ohiorenaissancefestival harveysburg ohio beard notalice notwonderland explore inexplore cosplay,,unreviewed,..\..\data\raw\images\img_0117.jpg,True,True,1.3333333333333333,RGB,,..\..\data\raw\images\img_0117.jpg
img_0147,img_0147.jpg,..\..\data\raw\images\img_0147.jpg,tea,Alice in Wonderland tea party teapot,Flickr,https://www.flickr.com/photos/64771753@N06/7736751520,https://live.staticflickr.com/8433/7736751520_516964d418_b.jpg,,1024,680,0,blue party colors forest tales tea alice disney fairy teapot mad teacup wonderland fairytales hatter,,unreviewed,..\..\data\raw\images\img_0147.jpg,True,True,1.5058823529411764,RGB,,..\..\data\raw\images\img_0147.jpg
img_0176,img_0176.jpg,..\..\data\raw\images\img_0176.jpg,card,Alice in Wonderland playing card soldier,Flickr,https://www.flickr.com/photos/68105287@N03/8592140556,https://live.staticflickr.com/8507/8592140556_4756d4229a_o.jpg,,2000,2000,0,cup us tea ornament card soldiers disneystore aliceinwonderland redqueen disneyparks,,unreviewed,..\..\data\raw\images\img_0176.jpg,True,True,1.0,RGB,8.5,..\..\data\raw\images\img_0176.jpg
img_0207,img_0207.jpg,..\..\data\raw\images\img_0207.jpg,clock,Alice in Wonderland pocket watch,Flickr,https://www.flickr.com/photos/140051458@N06/24895115857,https://live.staticflickr.com/4678/24895115857_82885c0c5f_b.jpg,,680,1023,0,,,unreviewed,..\..\data\raw\images\img_0207.jpg,True,True,1.5044117647058823,RGB,,..\..\data\raw\images\img_0207.jpg
img_0213,img_0213.jpg,..\..\data\raw\images\img_0213.jpg,door,Alice in Wonderland small door keyhole,Pexels,https://www.pexels.com/photo/charming-brick-entrance-with-wooden-door-36032986/,https://images.pexels.com/photos/36032986/pexels-photo-36032986.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Ranjot,650,650,Pexels License,,,unreviewed,..\..\data\raw\images\img_0213.jpg,True,True,1.0,RGB,7.15,..\..\data\raw\images\img_0213.jpg
img_0267,img_0267.jpg,..\..\data\raw\images\img_0267.jpg,mushroom,Alice in Wonderland mushroom,Flickr,https://www.flickr.com/photos/46775011@N04/6349922078,https://live.staticflickr.com/6238/6349922078_11031ed5a7_o.jpg,,2052,1552,0,autumn red white macro mushroom grass leaves university bc victoria vancouverisland spots uvic amanita muscaria,,unreviewed,..\..\data\raw\images\img_0267.jpg,True,True,1.3221649484536082,RGB,,..\..\data\raw\images\img_0267.jpg
img_0297,img_0297.jpg,..\..\data\raw\images\img_0297.jpg,dreamscape,surreal Wonderland dreamscape,Flickr,https://www.flickr.com/photos/12355556@N00/224952365,https://live.staticflickr.com/84/224952365_bb434eb503_b.jpg,,1024,665,0,15fav 510fav portland cool nice dusk surreal slide nikonfm2 yellowblue dreamscapes velvia50 stjohnsbridge bluemooncamera zebandrews zebandrewsphotography,,unreviewed,..\..\data\raw\images\img_0297.jpg,True,True,1.5398496240601505,RGB,,..\..\data\raw\images\img_0297.jpg
